dg_id,playerImage160,player_name,rounds,sg_mean,2017,2018,2019,2020,2021
11019,https://dkn.gs/sports/images/golf/players/160/566.png,"Steele, Brendan",10,1.128,NA,NA,T17,CUT,T18
5994,https://dkn.gs/sports/images/golf/players/160/860.png,"Stenson, Henrik",14,0.869,CUT,4,T17,CUT,CUT
17511,https://dkn.gs/sports/images/golf/players/160/654.png,"Straka, Sepp",4,-2.093,NA,NA,NA,CUT,CUT
8480,https://dkn.gs/sports/images/golf/players/160/602.png,"Streelman, Kevin",14,-0.563,70,T41,T58,CUT,NA
13997,https://dkn.gs/sports/images/countries/160/canada.png,"Svensson, Adam",0,NA,NA,NA,NA,NA,NA
14706,https://dkn.gs/sports/images/golf/players/160/925.png,"Swafford, Hudson",14,0.177,T10,T75,T29,NA,CUT
13126,https://dkn.gs/sports/images/golf/players/160/515.png,"Taylor, Nick",8,-0.643,NA,CUT,NA,T56,CUT
23014,https://dkn.gs/sports/images/countries/160/united_states.png,"Theegala, Sahith",0,NA,NA,NA,NA,NA,NA
27364,https://dkn.gs/sports/images/countries/160/united_states.png,"Thompson, Davis",0,NA,NA,NA,NA,NA,NA
12946,https://dkn.gs/sports/images/golf/players/160/835.png,"Thompson, Michael",2,-0.476,NA,NA,CUT,NA,NA
12425,https://dkn.gs/sports/images/golf/players/160/539.png,"Todd, Brendon",8,0.62,NA,NA,NA,T18,T57
14013,https://dkn.gs/sports/images/golf/players/160/622.png,"Tringale, Cameron",4,0.838,NA,NA,NA,NA,T31
13127,https://dkn.gs/sports/images/golf/players/160/990.png,"Tway, Kevin",6,-0.898,NA,T58,NA,CUT,NA
17550,https://dkn.gs/sports/images/golf/players/160/671.png,"Van Rooyen, Erik",0,NA,NA,NA,NA,NA,NA
20706,https://dkn.gs/sports/images/golf/players/160/1105.png,"Wallace, Matt",12,1.688,NA,NA,T6,T24,T18
7955,https://dkn.gs/sports/images/golf/players/160/517.png,"Watney, Nick",0,NA,NA,NA,NA,NA,NA
4052,https://dkn.gs/sports/images/golf/players/160/867.png,"Westwood, Lee",6,2.165,NA,NA,NA,CUT,2
25908,https://dkn.gs/sports/images/countries/160/united_states.png,"Whaley, Vincent",0,NA,NA,NA,NA,NA,NA
12920,https://dkn.gs/sports/images/golf/players/160/792.png,"Willett, Danny",11,0.383,NA,W/D,CUT,T18,T31
22051,https://dkn.gs/sports/images/golf/players/160/850.png,"Wise, Aaron",10,0.126,NA,T41,T40,NA,CUT
25919,https://dkn.gs/sports/images/golf/players/160/802.png,"Wolff, Matthew",4,-0.098,NA,NA,NA,T52,NA
12577,https://dkn.gs/sports/images/golf/players/160/689.png,"Woodland, Gary",0,NA,NA,NA,NA,NA,NA
26651,https://dkn.gs/sports/images/countries/160/united_states.png,"Young, Cameron",0,NA,NA,NA,NA,NA,NA
19428,https://dkn.gs/sports/images/countries/160/united_states.png,"Zalatoris, Will",4,1.838,NA,NA,NA,NA,T10
